zipcode,AVERAGE  PRICE,Income per capita,Median Age Male,Median Age Female,Bachelor's degree > 25,Public transportation,Cluster
11412,497310.9167,30304,36.9,42.9,0.14524451300000002,0.418136833,0
11413,491134.4167,31398,36.1,42.5,0.168326253,0.378859499,0
11414,387529.5,37839,43.9,46.0,0.177164808,0.278457343,0
11415,300272.5,39619,37.6,40.4,0.27608097600000003,0.5382113820000001,0
11416,550351.0,22831,33.4,38.1,0.159629133,0.55262942,0
11417,548329.25,26359,38.3,38.3,0.171867766,0.474722565,0
11418,502436.3333,25484,33.6,37.1,0.177277524,0.516414213,0
11419,535240.3333,23360,35.6,38.6,0.14786518199999998,0.505492655,0
11420,519220.9167,26134,38.1,40.4,0.143901794,0.411439114,0
11421,561501.5,26377,36.1,39.2,0.17487447899999997,0.591346897,0
11422,491416.0,31779,35.9,41.0,0.16426513,0.333760997,0
11423,532585.1667,29814,39.7,42.3,0.19953484300000002,0.454928868,0
11426,596661.0833,34168,37.1,40.2,0.21909533899999997,0.26212459899999996,0
11427,566946.6667,32689,40.0,44.2,0.19601616600000002,0.399074242,0
11428,557940.8333,26603,40.1,42.2,0.127703399,0.389794786,0
11429,511725.25,28107,35.8,42.5,0.173241494,0.403347095,0
11432,473843.3333,25157,35.5,36.5,0.23182428300000002,0.528535182,0
11433,470674.5833,21593,33.7,36.6,0.112865497,0.503735256,0
11434,359830.6667,26629,32.3,41.4,0.146140367,0.463136775,0
11435,284728.8333,26826,34.5,37.4,0.19140310100000002,0.589144624,0
11436,469564.5833,28190,33.6,39.3,0.13389151800000001,0.42886769,0
11691,429668.1667,21531,29.4,33.0,0.155863852,0.394523933,0
11692,282721.3333,22072,30.7,36.7,0.153590576,0.48110766,0
11693,293260.6667,30940,35.2,43.1,0.15699238,0.42341762,0
11694,480077.1667,45846,47.3,50.0,0.239156139,0.241063738,0
13784,107341.6667,20332,24.0,40.8,0.072463768,0.0,0
