,zipcode,RegionType,StateName,City,Metro,CountyName,AVERAGE  PRICE,Income per capita,Median Age Male,Median Age Female,Bachelor's degree > 25,Public transportation
2571,11366,Zip,NY,New York,New York-Newark-Jersey City,Queens County,869929.1667,33892.0,38.5,41.8,0.27115972,0.381227217
2572,11367,Zip,NY,New York,New York-Newark-Jersey City,Queens County,353835.6667,27930.0,34.0,39.5,0.21477836100000003,0.419525661
2573,11368,Zip,NY,New York,New York-Newark-Jersey City,Queens County,352905.1667,17595.0,32.2,32.6,0.09379390900000001,0.654729652
2574,11369,Zip,NY,New York,New York-Newark-Jersey City,Queens County,554254.6667,22638.0,35.9,40.2,0.114589038,0.54675343
2575,11370,Zip,NY,New York,New York-Newark-Jersey City,Queens County,599047.75,24012.0,35.5,40.9,0.141369048,0.530261651
2576,11372,Zip,NY,New York,New York-Newark-Jersey City,Queens County,375287.8333,30059.0,40.1,40.9,0.183050847,0.6517960420000001
2577,11373,Zip,NY,New York,New York-Newark-Jersey City,Queens County,372890.25,22873.0,37.1,39.2,0.19015973100000003,0.703898475
2578,11374,Zip,NY,New York,New York-Newark-Jersey City,Queens County,352865.5,37825.0,41.9,45.4,0.29533770600000003,0.602079658
2579,11375,Zip,NY,New York,New York-Newark-Jersey City,Queens County,400770.5833,49852.0,41.3,44.1,0.31747789600000004,0.6202124760000001
2580,11377,Zip,NY,New York,New York-Newark-Jersey City,Queens County,374754.0833,27309.0,39.7,40.4,0.202303333,0.661154425
2581,11378,Zip,NY,New York,New York-Newark-Jersey City,Queens County,676192.75,32412.0,36.6,38.7,0.190614473,0.464914286
2582,11379,Zip,NY,New York,New York-Newark-Jersey City,Queens County,741084.1667,36661.0,42.1,43.2,0.208449396,0.43094733399999996
2583,11385,Zip,NY,New York,New York-Newark-Jersey City,Queens County,641453.9167,29257.0,34.5,36.3,0.174298817,0.589774276
2584,11411,Zip,NY,New York,New York-Newark-Jersey City,Queens County,494975.5,35141.0,41.2,46.6,0.19401709399999997,0.38197134
2585,11412,Zip,NY,New York,New York-Newark-Jersey City,Queens County,497310.9167,30304.0,36.9,42.9,0.14524451300000002,0.418136833
2586,11413,Zip,NY,New York,New York-Newark-Jersey City,Queens County,491134.4167,31398.0,36.1,42.5,0.168326253,0.378859499
2587,11414,Zip,NY,New York,New York-Newark-Jersey City,Queens County,387529.5,37839.0,43.9,46.0,0.177164808,0.278457343
2588,11415,Zip,NY,New York,New York-Newark-Jersey City,Queens County,300272.5,39619.0,37.6,40.4,0.27608097600000003,0.5382113820000001
2589,11416,Zip,NY,New York,New York-Newark-Jersey City,Queens County,550351.0,22831.0,33.4,38.1,0.159629133,0.55262942
2590,11417,Zip,NY,New York,New York-Newark-Jersey City,Queens County,548329.25,26359.0,38.3,38.3,0.171867766,0.474722565
2591,11418,Zip,NY,New York,New York-Newark-Jersey City,Queens County,502436.3333,25484.0,33.6,37.1,0.177277524,0.516414213
2592,11419,Zip,NY,New York,New York-Newark-Jersey City,Queens County,535240.3333,23360.0,35.6,38.6,0.14786518199999998,0.505492655
2593,11420,Zip,NY,New York,New York-Newark-Jersey City,Queens County,519220.9167,26134.0,38.1,40.4,0.143901794,0.411439114
2594,11421,Zip,NY,New York,New York-Newark-Jersey City,Queens County,561501.5,26377.0,36.1,39.2,0.17487447899999997,0.591346897
2595,11422,Zip,NY,New York,New York-Newark-Jersey City,Queens County,491416.0,31779.0,35.9,41.0,0.16426513,0.333760997
2596,11423,Zip,NY,New York,New York-Newark-Jersey City,Queens County,532585.1667,29814.0,39.7,42.3,0.19953484300000002,0.454928868
2597,11426,Zip,NY,New York,New York-Newark-Jersey City,Queens County,596661.0833,34168.0,37.1,40.2,0.21909533899999997,0.26212459899999996
2598,11427,Zip,NY,New York,New York-Newark-Jersey City,Queens County,566946.6667,32689.0,40.0,44.2,0.19601616600000002,0.399074242
2599,11428,Zip,NY,New York,New York-Newark-Jersey City,Queens County,557940.8333,26603.0,40.1,42.2,0.127703399,0.389794786
2600,11429,Zip,NY,New York,New York-Newark-Jersey City,Queens County,511725.25,28107.0,35.8,42.5,0.173241494,0.403347095
2601,11430,Zip,NY,New York,New York-Newark-Jersey City,Queens County,644419.6667,8608.0,46.5,-666666666.0,0.027472527000000004,1.0
2602,11432,Zip,NY,New York,New York-Newark-Jersey City,Queens County,473843.3333,25157.0,35.5,36.5,0.23182428300000002,0.528535182
2603,11433,Zip,NY,New York,New York-Newark-Jersey City,Queens County,470674.5833,21593.0,33.7,36.6,0.112865497,0.503735256
2604,11434,Zip,NY,New York,New York-Newark-Jersey City,Queens County,359830.6667,26629.0,32.3,41.4,0.146140367,0.463136775
2605,11435,Zip,NY,New York,New York-Newark-Jersey City,Queens County,284728.8333,26826.0,34.5,37.4,0.19140310100000002,0.589144624
2606,11436,Zip,NY,New York,New York-Newark-Jersey City,Queens County,469564.5833,28190.0,33.6,39.3,0.13389151800000001,0.42886769
2645,11691,Zip,NY,New York,New York-Newark-Jersey City,Queens County,429668.1667,21531.0,29.4,33.0,0.155863852,0.394523933
2646,11692,Zip,NY,New York,New York-Newark-Jersey City,Queens County,282721.3333,22072.0,30.7,36.7,0.153590576,0.48110766
2647,11693,Zip,NY,New York,New York-Newark-Jersey City,Queens County,293260.6667,30940.0,35.2,43.1,0.15699238,0.42341762
2648,11694,Zip,NY,New York,New York-Newark-Jersey City,Queens County,480077.1667,45846.0,47.3,50.0,0.239156139,0.241063738
3570,13784,Zip,NY,New York,Cortland,Cortland County,107341.6667,20332.0,24.0,40.8,0.072463768,0.0
