zipcode,RegionType,StateName,City,Metro,CountyName,AVERAGE  PRICE,Income per capita,Median Age Male,Median Age Male.1,Bachelor's degree > 25,Public transportation
15458,Zip,PA,German Township,Pittsburgh,Fayette County,92261.5,23737,52.4,51.3,0.090753425,0.028846154
15459,Zip,PA,Henry Clay Township,Pittsburgh,Fayette County,126980.5833,23455,42.1,51.8,0.042276423,0
15460,Zip,PA,Nicholson Township,Pittsburgh,Fayette County,42682.58333,17837,18,32.8,0.028571429,0
15461,Zip,PA,Masontown,Pittsburgh,Fayette County,85685.83333,20503,41.7,43.8,0.084231146,0.002369668
15462,Zip,PA,Saltlick Township,Pittsburgh,Fayette County,69746.66667,12120,27.6,17.9,0,0
15463,Zip,PA,Luzerne Township,Pittsburgh,Fayette County,51953.33333,,-666666666,-666666666,0,0
15464,Zip,PA,Springfield Township,Pittsburgh,Fayette County,147701.5833,25591,38.1,42.7,0.138056312,0
15468,Zip,PA,Redstone Township,Pittsburgh,Fayette County,63617.58333,21726,34.2,45.7,0.115021999,0
15469,Zip,PA,Springfield Township,Pittsburgh,Fayette County,125086.3333,29862,41.8,57,0.037460317,0
15470,Zip,PA,Wharton Township,Pittsburgh,Fayette County,180311.6667,33673,43.5,39.8,0.180701754,0
15472,Zip,PA,Oliver,Pittsburgh,Fayette County,49511.75,17996,-666666666,31.6,0,0
15473,Zip,PA,Perryopolis,Pittsburgh,Fayette County,144052.75,29113,45.4,51.1,0.166100543,0.00175644
15474,Zip,PA,Springhill Township,Pittsburgh,Fayette County,73733.41667,23642,40.8,40.3,0.101098901,0
15475,Zip,PA,Republic,Pittsburgh,Fayette County,31092.66667,24554,39.7,47.5,0.119607843,0.042414356
15477,Zip,PA,Roscoe,Pittsburgh,Washington County,74532.75,29023,49.1,54.6,0.138392857,0.013368984
15478,Zip,PA,Georges Township,Pittsburgh,Fayette County,133449.5833,27823,44.8,46.6,0.082204155,0
15479,Zip,PA,South Huntingdon Township,Pittsburgh,Westmoreland County,119204.5833,25921,50.2,46.5,0.112343967,0
15480,Zip,PA,Menallen Township,Pittsburgh,Fayette County,119137.5833,26113,47.7,51.7,0.139874739,0
15482,Zip,PA,Perry Township,Pittsburgh,Fayette County,46254.5,24839,52.8,53.2,0.081081081,0
15483,Zip,PA,Stockdale,Pittsburgh,Washington County,102141,29093,49.1,60.5,0.197640118,0
15486,Zip,PA,Franklin Township,Pittsburgh,Fayette County,132245.5,29307,48.1,47.7,0.145123384,0
15490,Zip,PA,Saltlick Township,Pittsburgh,Fayette County,158875.1667,31924,60.7,54.7,0.151385928,0
15492,Zip,PA,Perry Township,Pittsburgh,Fayette County,72446,10497,28.1,52.2,0.082191781,0
15501,Zip,PA,Somerset Township,Somerset,Somerset County,131527,27035,43.4,49.7,0.106924394,0.001071975
15502,Zip,PA,Hidden Valley,Somerset,Somerset County,146971.3333,40835,58.5,64.8,0.278688525,0
15520,Zip,PA,Jenner Township,Somerset,Somerset County,79845.58333,18695,52.7,38.5,0,0
15521,Zip,PA,West St Clair Township,,Bedford County,153376.25,24956,39.7,41.4,0.082047116,0
15522,Zip,PA,Bedford Township,,Bedford County,154951.1667,26836,47,54.1,0.095519002,0.001258653
15530,Zip,PA,Brothersvalley Township,Somerset,Somerset County,118803.25,25572,43.5,50,0.095843262,0.00375626
15531,Zip,PA,Jenner Township,Somerset,Somerset County,94258.5,22679,41.3,45.2,0.094147583,0.001265022
15532,Zip,PA,Elk Lick Township,Somerset,Somerset County,76428.16667,22619,46.5,46.3,0.069767442,0
15533,Zip,PA,East Providence Township,,Bedford County,140465.4167,26820,41.8,38.4,0.042042042,0.01321004
15534,Zip,PA,Londonderry Township,,Bedford County,152530,28732,45.2,44.3,0.085333333,0
15535,Zip,PA,Monroe Township,,Bedford County,174534.1667,26055,46.6,47.4,0.092374458,0.022038567
15536,Zip,PA,Brush Creek Township,,Fulton County,107335.3333,27622,46.9,47.7,0.047091413,0
15537,Zip,PA,Everett,,Bedford County,142792.8333,25528,44.9,49.9,0.081541373,0.008420441
15538,Zip,PA,Allegheny Township,Somerset,Somerset County,80873.08333,29172,52.4,54.4,0.130755064,0
15539,Zip,PA,East St Clair Township,,Bedford County,127294.6667,23989,25.5,31.2,0.038709677,0
15540,Zip,PA,Addison Township,Somerset,Somerset County,97272,32408,61.5,57.8,0.132653061,0
15541,Zip,PA,Friedens,Somerset,Somerset County,123555.1667,28903,42.3,43.6,0.11321499,0
15542,Zip,PA,Garrett,Somerset,Somerset County,80589.5,26458,45.3,52,0.064242424,0
15544,Zip,PA,Jenner Township,Somerset,Somerset County,71720.16667,16119,40.9,61.4,0.145631068,0
15545,Zip,PA,Londonderry Township,,Bedford County,80998.16667,24107,47.6,48.7,0.057053942,0
15546,Zip,PA,Jenner Township,Somerset,Somerset County,60819.41667,22673,36.5,11.8,0,0
15547,Zip,PA,Jennerstown,Somerset,Somerset County,99775,23378,41.8,45.1,0.054216867,0
15550,Zip,PA,Harrison Township,,Bedford County,144012,24183,43.5,42.4,0.081168831,0.011138614
15551,Zip,PA,Upper Turkeyfoot Township,Somerset,Somerset County,99545.66667,25021,42.9,50.4,0.088541667,0
15552,Zip,PA,Meyersdale,Somerset,Somerset County,85606.5,23989,43,44.3,0.074744109,0.000738552
15554,Zip,PA,East St Clair Township,,Bedford County,141394.5,27898,47.9,44.9,0.078134464,0.005035247
15555,Zip,PA,Lincoln Township,Somerset,Somerset County,54122.41667,25286,50,41,0.188405797,0
15557,Zip,PA,Middlecreek Township,Somerset,Somerset County,108737.8333,27459,45.5,45.3,0.096902303,0.001204819
15558,Zip,PA,Elk Lick Township,Somerset,Somerset County,100384.6667,20201,36.9,41.1,0.074482759,0
15559,Zip,PA,Napier Township,,Bedford County,155942,26722,54.2,52.6,0.067820069,0
15560,Zip,PA,Stonycreek Township,Somerset,Somerset County,78782.08333,22835,35,33,0.134920635,0
15561,Zip,PA,Lincoln Township,Somerset,Somerset County,99177.08333,27752,34.1,40.3,0.033783784,0
15562,Zip,PA,Elk Lick Township,Somerset,Somerset County,118808.0833,22822,24.6,38.3,0.090909091,0
15563,Zip,PA,Quemahoning Township,Somerset,Somerset County,111384.3333,24102,46.2,49.3,0.100626305,0
15564,Zip,PA,Wellersburg,Somerset,Somerset County,69611.08333,23567,47,16.5,0.175,0
15601,Zip,PA,Greensburg,Pittsburgh,Westmoreland County,193934.8333,33030,44.3,49.2,0.212465191,0.010155494
15610,Zip,PA,Bullskin Township,Pittsburgh,Fayette County,154898.4167,31529,52.5,50.1,0.106630212,0.003968254
15611,Zip,PA,Hempfield Township,Pittsburgh,Westmoreland County,108628.75,20955,42.4,39.9,0.144989339,0
15612,Zip,PA,East Huntingdon Township,Pittsburgh,Westmoreland County,119307.6667,101907,48.9,51.6,0.035483871,0
15613,Zip,PA,Washington Township,Pittsburgh,Westmoreland County,121284.8333,31335,48.5,50,0.130979717,0.009208103
15615,Zip,PA,North Huntingdon Township,Pittsburgh,Westmoreland County,129171.25,36808,64,54.6,0.192307692,0.056603774
15616,Zip,PA,Greensburg,Pittsburgh,Westmoreland County,200053.25,-666666666,-666666666,-666666666,,
15617,Zip,PA,Arona,Pittsburgh,Westmoreland County,69071,25081,51,49,0.065637066,0
15618,Zip,PA,Avonmore,Pittsburgh,Westmoreland County,99937.58333,25979,42.1,46.9,0.090265487,0.014388489
15620,Zip,PA,Derry Township,Pittsburgh,Westmoreland County,100845,25689,44.6,66,0.034136546,0
15622,Zip,PA,Middlecreek Township,Somerset,Somerset County,252706.1667,39394,51.8,53.2,0.059811123,0
15623,Zip,PA,Penn Township,Pittsburgh,Westmoreland County,181806.6667,26550,49.4,45.9,0.106694561,0
15626,Zip,PA,Delmont,Pittsburgh,Westmoreland County,200197.1667,40840,52.8,53.9,0.175275827,0.022309198
15627,Zip,PA,Derry Township,Pittsburgh,Westmoreland County,116445,25613,41.2,49.4,0.091157895,0.003062266
15628,Zip,PA,Donegal Township,Pittsburgh,Westmoreland County,154941.1667,23347,39.2,40.4,0.102362205,0
15631,Zip,PA,Everson,Pittsburgh,Fayette County,73997.83333,20623,34.8,40.7,0.110588235,0
15632,Zip,PA,Murrysville,Pittsburgh,Westmoreland County,252245.1667,43721,44.7,46.6,0.248756926,0.019314642
15634,Zip,PA,Grapeville,Pittsburgh,Westmoreland County,72822.75,18963,28.7,59.9,0.034482759,0
15635,Zip,PA,Greensburg,Pittsburgh,Westmoreland County,99240.25,37382,59,52.1,0,0
15636,Zip,PA,Penn Township,Pittsburgh,Westmoreland County,310959.5833,47296,43.9,48.9,0.306744017,0.047008547
15637,Zip,PA,Herminie,Pittsburgh,Westmoreland County,126396.0833,31481,41.2,46.7,0.190756303,0
15639,Zip,PA,Hempfield Township,Pittsburgh,Westmoreland County,162402.4167,31888,49.8,44.3,0.222222222,0.03125
