zipcode,State,City,Metro,CountyName,Average RE Prices
02126,MA,Boston,Boston-Cambridge-Newton,Suffolk County,424056.25
02127,MA,Boston,Boston-Cambridge-Newton,Suffolk County,719298.0833
02128,MA,Boston,Boston-Cambridge-Newton,Suffolk County,478412.8333
02129,MA,Boston,Boston-Cambridge-Newton,Suffolk County,766931.6667
02130,MA,Boston,Boston-Cambridge-Newton,Suffolk County,626294.25
02131,MA,Boston,Boston-Cambridge-Newton,Suffolk County,529708.9167
02132,MA,Boston,Boston-Cambridge-Newton,Suffolk County,590836.4167
02134,MA,Boston,Boston-Cambridge-Newton,Suffolk County,566551.75
02135,MA,Boston,Boston-Cambridge-Newton,Suffolk County,501269.4167
02136,MA,Boston,Boston-Cambridge-Newton,Suffolk County,442296.4167
02138,MA,Cambridge,Boston-Cambridge-Newton,Middlesex County,847486.8333
02139,MA,Cambridge,Boston-Cambridge-Newton,Middlesex County,804538.1667
02140,MA,Cambridge,Boston-Cambridge-Newton,Middlesex County,796435.1667
02141,MA,Cambridge,Boston-Cambridge-Newton,Middlesex County,745290.4167
02142,MA,Cambridge,Boston-Cambridge-Newton,Middlesex County,938398.3333
02143,MA,Somerville,Boston-Cambridge-Newton,Middlesex County,718976.5833
02144,MA,Somerville,Boston-Cambridge-Newton,Middlesex County,780236.3333
02145,MA,Somerville,Boston-Cambridge-Newton,Middlesex County,614365.3333
02148,MA,Malden,Boston-Cambridge-Newton,Middlesex County,467491.5833
02149,MA,Everett,Boston-Cambridge-Newton,Middlesex County,436116.4167
02150,MA,Chelsea,Boston-Cambridge-Newton,Suffolk County,376686.3333
02151,MA,Revere,Boston-Cambridge-Newton,Suffolk County,412360.1667
02152,MA,Winthrop,Boston-Cambridge-Newton,Suffolk County,466423.9167
02155,MA,Medford,Boston-Cambridge-Newton,Middlesex County,605453.1667
02169,MA,Quincy,Boston-Cambridge-Newton,Norfolk County,437359.75
02170,MA,Quincy,Boston-Cambridge-Newton,Norfolk County,532426.4167
02171,MA,Quincy,Boston-Cambridge-Newton,Norfolk County,495631.9167
02176,MA,Melrose,Boston-Cambridge-Newton,Middlesex County,628411.6667
02180,MA,Stoneham,Boston-Cambridge-Newton,Middlesex County,549457.8333
02184,MA,Braintree,Boston-Cambridge-Newton,Norfolk County,495804.6667
02186,MA,Milton,Boston-Cambridge-Newton,Norfolk County,691277.9167
02188,MA,Weymouth,Boston-Cambridge-Newton,Norfolk County,404651.9167
02189,MA,Weymouth,Boston-Cambridge-Newton,Norfolk County,380482.5
02190,MA,Weymouth,Boston-Cambridge-Newton,Norfolk County,420951.25
02191,MA,Weymouth,Boston-Cambridge-Newton,Norfolk County,388127.4167
02199,MA,Boston,Boston-Cambridge-Newton,Suffolk County,1679999.333
02210,MA,Boston,Boston-Cambridge-Newton,Suffolk County,1119906.417
02215,MA,Boston,Boston-Cambridge-Newton,Suffolk County,662135.8333
02301,MA,Brockton,Boston-Cambridge-Newton,Plymouth County,306935.0833
02302,MA,Brockton,Boston-Cambridge-Newton,Plymouth County,291682.9167
02303,MA,Brockton,Boston-Cambridge-Newton,Plymouth County,490472.5833
02322,MA,Avon,Boston-Cambridge-Newton,Norfolk County,360213.0833
02324,MA,Bridgewater,Boston-Cambridge-Newton,Plymouth County,397516.25
02330,MA,Carver,Boston-Cambridge-Newton,Plymouth County,354954.75
02332,MA,Duxbury,Boston-Cambridge-Newton,Plymouth County,609681.5833
02333,MA,East Bridgewater,Boston-Cambridge-Newton,Plymouth County,369447.25
02334,MA,Easton,Providence-Warwick,Bristol County,596206.6667
02338,MA,Halifax,Boston-Cambridge-Newton,Plymouth County,353635.5
02339,MA,Hanover,Boston-Cambridge-Newton,Plymouth County,527711.4167
02341,MA,Hanson,Boston-Cambridge-Newton,Plymouth County,383818.1667
02343,MA,Holbrook,Boston-Cambridge-Newton,Norfolk County,345418
02346,MA,Middleborough,Boston-Cambridge-Newton,Plymouth County,350017.25
02347,MA,Lakeville,Boston-Cambridge-Newton,Plymouth County,394907.0833
02350,MA,Abington,Boston-Cambridge-Newton,Plymouth County,285804.5
02351,MA,Abington,Boston-Cambridge-Newton,Plymouth County,374417.9167
02356,MA,Easton,Providence-Warwick,Bristol County,472936.25
02359,MA,Pembroke,Boston-Cambridge-Newton,Plymouth County,411279.3333
02360,MA,Plymouth,Boston-Cambridge-Newton,Plymouth County,379846.3333
02364,MA,Kingston,Boston-Cambridge-Newton,Plymouth County,422683.1667
02367,MA,Plympton,Boston-Cambridge-Newton,Plymouth County,415107.8333
02368,MA,Randolph,Boston-Cambridge-Newton,Norfolk County,367625.0833
02370,MA,Rockland,Boston-Cambridge-Newton,Plymouth County,344523.4167
02375,MA,Easton,Providence-Warwick,Bristol County,387099.25
02379,MA,West Bridgewater,Boston-Cambridge-Newton,Plymouth County,381418.8333
02382,MA,Whitman,Boston-Cambridge-Newton,Plymouth County,348494.5833
02420,MA,Lexington,Boston-Cambridge-Newton,Middlesex County,1010454.417
