zipcode,Income per capita,Median Age Male,Median Age Male,Bachelor's degree > 25,Median Home Value,Public transportation
01571,30831,34.2,39.9,0.187811113,258500,0.005376344
01581,50853,37.4,40.5,0.357913256,449600,0.033446954
01583,30559,37,48.7,0.181970791,278800,0.005700036
01585,36273,45.8,49.3,0.212001132,241000,0.014680484
01588,34008,36.9,39.1,0.216728281,264300,0
01590,46409,42.9,45.6,0.260803408,350700,0.004251208
01602,34241,37.7,42.8,0.260890877,231000,0.020567205
01603,23165,35,37.1,0.1132223,188700,0.031416788
01604,28104,33.7,35.1,0.194953951,219100,0.018574466
01605,21630,31,33.2,0.161941748,213300,0.038366862
01606,34799,40.4,42.9,0.220121398,225400,0.018211088
01607,25738,35.2,39.6,0.170292819,178600,0.02446184
01608,16892,28.5,26.9,0.143901325,168400,0.095382286
01609,31983,30.9,36.8,0.220721769,313200,0.031298346
01610,17590,27.9,28.2,0.104969377,172700,0.063084598
01611,37807,36.5,40.6,0.221940393,223600,0
01612,43782,34.8,44.5,0.286869944,309500,0.013007489
01701,53652,45.6,46.9,0.33434319,408800,0.034076993
01702,30787,34.5,36.2,0.219721369,334100,0.047940075
01718,50641,41.4,39.5,0.480885312,265600,0.164
01719,55571,41.3,43.7,0.297042008,527400,0.06627071
01720,62794,43.1,45.2,0.306525327,578200,0.068392347
01721,52652,39.3,42.6,0.299903257,386400,0.076614922
01730,61653,43.2,42.2,0.311889837,627000,0.02307917
01731,28812,19.9,25.8,0.265797392,-666666666,0.023923445
01740,56557,41.1,45.3,0.356956143,525500,0.034990792
01741,85227,47.8,48.7,0.363233666,824100,0.029995775
01742,69472,44.1,48.4,0.274618088,814000,0.076591553
01745,44785,36,31.1,0.276836158,378100,0.044520548
01746,57253,42.6,41.9,0.36684321,435600,0.045263827
01747,42756,44,45.4,0.346953236,328900,0.038385175
01748,66704,41.4,41.8,0.368142198,581700,0.067125451
01749,41888,41.2,45.9,0.247140998,335300,0.013483965
01752,40677,39.7,40.8,0.239644351,333600,0.018538905
01754,49298,43.5,45.5,0.265519439,340500,0.026033943
01756,54512,47.2,43.3,0.302331229,442500,0.056472632
01757,37623,38.9,41.3,0.235253399,297800,0.016165535
01760,57945,38,42.5,0.327302113,537200,0.091437468
01770,79952,47.8,44.8,0.331761536,769800,0.101856043
01772,66904,43.1,43.9,0.373985034,612200,0.0484394
01773,90195,56.1,54.1,0.268898488,883600,0.12369338
01775,60306,42.7,43,0.336045056,487200,0.021878335
01776,75699,44.2,44.6,0.357610083,677900,0.042380523
01778,80323,41.5,45.2,0.371199324,690500,0.048387097
01801,41720,39.3,42.4,0.271973409,421200,0.04372919
01803,48663,40.3,42.6,0.3080348,491800,0.036748654
01810,66268,41.9,42.3,0.344299729,608400,0.050727465
01821,41656,39,41.8,0.242210841,386400,0.032899395
01824,51927,41.9,46.1,0.311937901,405900,0.024567322
01826,37188,37.8,40.5,0.176096542,316900,0.019687179
01827,54832,44.8,45.8,0.335118251,465400,0.005488474
01830,31572,36.3,38.8,0.176892171,294900,0.053987271
01832,32485,36,37.4,0.207317841,279300,0.044593462
01833,52277,41.7,46.1,0.327044025,458400,0.011850312
01834,40346,42.3,47.1,0.275649494,390700,0.01878453
01835,36886,37.8,38.9,0.243567187,276900,0.01671542
01840,18315,33.2,33.5,0.092844974,103000,0.076846802
01841,17408,29,33.4,0.061199385,261800,0.041781816
01843,22281,30.7,32.7,0.089668982,255300,0.036715621
01844,34390,38.2,41.2,0.176278755,324300,0.015210827
01845,54587,36.5,43.3,0.351888277,484500,0.036977903
01850,21355,28.6,31.9,0.084447994,217500,0.0312262
01851,25587,33.4,35.1,0.14486027,263600,0.036740492
01852,29089,35.6,37.5,0.161632619,263700,0.039017686
01854,21273,26.8,31.9,0.11571554,239900,0.036666917
01860,44838,48.5,46.8,0.294548413,340300,0.029176989
01862,36545,40.9,44.7,0.180645161,371700,0.034638554
01863,47154,42.4,46.8,0.233703815,315200,0.024111675
01864,53748,42.2,45.2,0.293958032,497600,0.036122331
01867,50776,40.4,45.9,0.326288952,534100,0.099189676
01876,43480,41.6,46.3,0.234477787,370500,0.034641343
01879,46319,40.5,42.3,0.32125769,368500,0.013679111
01880,47970,43.5,45.8,0.307657499,470900,0.081696247
01886,53692,43.7,41.9,0.341830603,530400,0.027085504
01887,47330,40.2,42.8,0.246152914,447300,0.049801543
01890,77433,40.8,44.6,0.299160553,893700,0.110594457
01901,18532,37.5,41.6,0.105998357,297400,0.340876945
01902,23167,31.6,34,0.121429245,272500,0.147220577
01904,35302,37.2,39.2,0.168848607,337700,0.082740022
01905,25769,31.4,36.5,0.123504247,278600,0.113997458
01906,37950,43.4,48.5,0.191799894,374500,0.072746114
01907,57652,44.4,44.9,0.29812429,455400,0.133186357
01908,59385,51.5,54,0.302506177,628200,0.095528455
01913,40713,39.7,45.7,0.248968697,326900,0.018937455
01915,45358,41.9,42.1,0.300453827,411700,0.090909091
01921,72832,47.5,45.4,0.323157895,662400,0.017134698
01922,48117,44,46.9,0.394887616,487800,0.038986355
01923,41545,43,46.8,0.257580336,395100,0.027099317
01929,52604,47.6,44.8,0.326721557,555900,0.092761394
01930,41201,48.1,51.4,0.234927505,395800,0.032698648
01937,12007,36,46.4,0.109195402,-666666666,0.473684211
01938,48927,46.9,49.8,0.292087626,472800,0.04636126
01940,59658,43.6,42.6,0.321842818,633700,0.022333572
01944,70012,48.6,50.5,0.334908136,815700,0.145326002
01945,69202,46.8,48.8,0.385996894,632600,0.087698174
01949,45456,38.8,44.9,0.251926152,494900,0.021028037
01950,61503,45.9,50.6,0.339889503,514700,0.040847824
01951,59562,51.3,52.1,0.395618984,510100,0.069411202
01952,39622,44.4,48.1,0.244095622,353800,0.032040105
01960,37306,43.2,47.4,0.221607078,373100,0.032638705
01966,47105,52.3,55.3,0.319471028,489200,0.059405941
01969,58904,44.3,45.1,0.238344227,436900,0.034067548
01970,36176,35.2,37.4,0.245920127,347200,0.106044539
01982,49763,36.6,44.7,0.361252594,552800,0.08348745
01983,50449,43.9,45.8,0.295753065,588500,0.006807352
01984,48324,33.1,23.4,0.39490688,579900,0.032760033
01985,59600,44.6,48.7,0.352604828,557800,0.025651988
02019,47005,39.2,43.2,0.194359187,291400,0.02350686
02021,53620,40.8,42.8,0.301653141,486400,0.131450344
02025,76882,43,44.5,0.371978119,861800,0.213641189
02026,51354,39.3,47,0.272038271,445200,0.112223551
02030,115686,42.7,46.8,0.322487536,1002500,0.092001502
02032,58558,40.5,40.5,0.314732143,479000,0.142737896
02035,48318,42.2,42.7,0.30290623,411100,0.065553701
02038,50626,40.5,40.9,0.330118349,420000,0.056422433
