,zipcode,AVERAGE  PRICE,Income per capita,Median Age Male,Median Age Female,Bachelor's degree > 25,Public transportation,clusters
7683,27539,371494.6667,42148.0,37.2,38.7,0.348417473,0.008284432,0
7684,27540,329944.1667,38099.0,36.1,36.0,0.372307825,0.002238602,0
7685,27541,193372.0833,33122.0,43.9,44.2,0.158082409,0.0067196090000000005,0
7686,27542,129980.0833,22698.0,38.1,39.7,0.088965194,0.0004659830000000001,0
7687,27544,112155.25,23098.0,37.8,41.5,0.112838227,0.0017115960000000001,0
7688,27545,214840.6667,28213.0,35.0,36.9,0.223000452,0.0,0
7689,27546,153512.25,20609.0,34.6,35.6,0.133982036,0.000116009,0
7690,27549,152024.0833,22974.0,38.8,45.6,0.11514357300000001,0.000575264,0
7691,27551,221660.9167,28437.0,55.9,55.2,0.09451946,0.009389671,0
7692,27553,121658.9167,17093.0,45.8,56.1,0.046686747,0.0,0
7693,27555,102369.0833,16540.0,43.1,38.7,0.031180401,0.0,0
7694,27556,58313.41667000001,14471.0,24.4,38.4,0.0,0.0,0
7695,27557,125823.4167,17759.0,36.9,35.8,0.086241883,0.000670241,0
7696,27559,230478.8333,34303.0,49.7,46.3,0.152450091,0.0,0
7697,27560,319057.5833,43762.0,33.3,33.2,0.368597479,0.00064711,0
7698,27562,392944.75,36161.0,42.5,47.0,0.1898527,0.0,0
7699,27563,72345.25,23057.0,40.1,51.5,0.10514285699999999,0.0,0
7700,27565,129338.0833,25486.0,42.4,47.9,0.138064165,0.000666921,0
7701,27568,128657.6667,25289.0,35.5,41.0,0.109090909,0.0,0
7702,27569,148826.9167,22136.0,37.4,44.2,0.145289855,0.0,0
7703,27571,309517.5833,35803.0,36.3,35.7,0.297841378,0.0,0
7704,27572,213494.0833,33733.0,46.2,48.6,0.17806402699999999,0.0,0
7705,27573,89886.41667,19813.0,37.5,36.4,0.092014369,0.004163775,0
7706,27574,129968.5833,27227.0,43.3,47.8,0.088100365,0.000747719,0
7707,27576,130980.4167,18946.0,34.5,37.9,0.09150099800000001,0.0,0
7708,27577,153106.25,21884.0,39.7,43.0,0.130991904,0.002700617,0
7709,27581,169233.1667,23133.0,41.8,40.6,0.099680171,0.0,0
7710,27582,63683.333329999994,22578.0,29.9,41.2,0.34113712399999996,0.0,0
7711,27583,185619.4167,27949.0,42.2,45.9,0.150965251,0.0,0
7712,27587,323425.4167,40885.0,38.2,38.1,0.345199269,0.002175161,0
7713,27589,78194.33333,19178.0,40.0,42.6,0.08923539400000001,0.000369959,0
7714,27591,202161.75,26853.0,37.3,39.6,0.168418763,0.0011716460000000001,0
7715,27592,224568.0833,28844.0,38.7,38.9,0.221006565,0.0,0
7716,27596,239715.9167,32108.0,38.4,41.0,0.232861371,0.005999127,0
7717,27597,194168.8333,28050.0,38.5,42.7,0.141093143,0.0,0
7718,27601,332921.0,29686.0,33.0,32.1,0.22779869,0.05681341700000001,0
7719,27603,242323.75,31717.0,32.3,34.0,0.268321513,0.011012113,0
7720,27604,199059.1667,28421.0,33.8,37.4,0.25,0.009503038,0
7721,27605,290420.3333,57491.0,37.6,34.1,0.379616963,0.023255814,0
7722,27606,266110.6667,31902.0,27.9,28.2,0.326697438,0.050815207,0
7723,27607,419414.5,35181.0,25.2,23.8,0.403468609,0.033423389,0
7725,27609,329989.25,44007.0,36.6,39.9,0.34193439600000003,0.012184166000000001,0
7726,27610,177070.5833,20710.0,30.2,34.0,0.169931511,0.030369792000000007,0
7727,27612,350352.25,48078.0,35.5,39.6,0.3982547870000001,0.010817041000000001,0
7728,27613,364956.75,49778.0,38.4,38.6,0.41234045399999997,0.0022796979999999997,0
7729,27614,408786.4167,56247.0,40.9,42.7,0.38860172299999995,0.001621684,0
7730,27615,325711.75,50969.0,41.0,45.3,0.38876700299999994,0.008992411,0
7731,27616,219367.1667,28398.0,32.8,33.9,0.287025243,0.010889292,0
7732,27617,295270.0833,65331.0,34.4,35.4,0.42664958399999997,0.0058717990000000005,0
7733,27701,250601.8333,26769.0,31.8,32.3,0.188557246,0.067754078,0
7734,27703,221781.1667,30233.0,35.3,34.8,0.223176835,0.031216441,0
7735,27704,173556.25,21910.0,31.5,36.1,0.19927636,0.03948646,0
7736,27705,275781.5,35610.0,30.0,35.5,0.246160723,0.039821814,0
7737,27707,243559.5833,33617.0,34.0,33.5,0.24243418100000005,0.038796696,0
7738,27712,244800.8333,41069.0,44.2,48.3,0.28512865800000003,0.004769785,0
7739,27713,254769.0833,40069.0,33.0,36.8,0.321176072,0.026002342999999997,0
7740,27801,46777.08333,17920.0,38.4,41.5,0.080773606,0.02119486,0
7741,27803,106735.9167,29318.0,42.5,47.6,0.167585042,0.0005826830000000001,0
7742,27804,123812.9167,27822.0,38.0,39.4,0.17255097,0.0016280620000000002,0
7743,27805,59100.583329999994,20230.0,41.8,44.1,0.067147193,0.0,0
7744,27806,80123.41667,27104.0,48.9,47.6,0.071288102,0.010596026000000001,0
7745,27807,133335.1667,22059.0,28.5,37.5,0.088198758,0.040489642,0
7746,27808,222070.0,37947.0,55.7,57.0,0.13510101,0.010452962,0
7747,27809,107071.5833,28776.0,42.5,47.5,0.075055804,0.0,0
7748,27810,142361.9167,24791.0,50.3,46.9,0.117930591,0.009078211999999999,0
7749,27812,60496.583329999994,21314.0,53.2,51.2,0.148834998,0.011278195,0
7750,27813,79567.66667,17256.0,28.4,31.4,0.07444668,0.022284123,0
7751,27814,117348.0833,22589.0,54.5,56.0,0.11194496599999999,0.0,0
7752,27816,122770.9167,22578.0,39.4,46.8,0.050847458,0.0,0
7753,27817,201961.6667,25887.0,44.8,48.1,0.129123803,0.0,0
7754,27818,123120.0833,18082.0,40.8,52.8,0.096199525,0.0,0
7755,27819,49934.5,19345.0,47.3,52.7,0.04245283,0.0,0
7756,27820,66574.33333,22200.0,43.8,48.5,0.10672424400000001,0.0,0
7757,27821,54017.5,14387.0,58.2,27.1,0.030042918,0.0,0
7758,27822,119953.1667,25232.0,41.5,41.9,0.11979346,0.0005188069999999999,0
7759,27823,43397.58333,16093.0,40.7,48.5,0.06710339900000001,0.0031567870000000003,0
7760,27824,73810.83333,18489.0,34.0,33.4,0.07345576,0.024193548,0
7761,27826,100013.3333,11436.0,43.5,71.5,0.037037037,0.0,0
7762,27827,71319.41667,10233.0,34.8,40.9,0.0,0.24,0
7763,27828,108778.8333,22195.0,36.0,39.6,0.12378524800000001,0.0038424590000000003,0
7764,27829,87302.91667,24921.0,50.0,55.3,0.095854922,0.0,0
7765,27830,88582.85714,23394.0,40.3,48.9,0.139872316,0.0,0
7766,27831,41323.33333,18274.0,41.0,52.5,0.033562475,0.0,0
7767,27832,72620.75,20177.0,50.4,53.6,0.08184588599999999,0.0,0
7768,27834,103895.1667,21081.0,29.5,33.2,0.175476115,0.01181672,0
7769,27837,163247.0833,31343.0,43.8,40.2,0.166436782,0.00193299,0
7770,27839,55979.66667000001,13457.0,42.1,49.3,0.06384505,0.0,0
7771,27840,27609.25,17960.0,47.2,52.6,0.043333332999999995,0.0,0
7772,27842,342490.3333,34493.0,64.8,65.0,0.149171271,0.0,0
7773,27843,33845.66667,13367.0,37.8,51.9,0.08241082400000001,0.0,0
7774,27844,51205.16667,21724.0,35.8,44.6,0.08640674400000001,0.008179959,0
7775,27845,50596.41667,15739.0,35.7,46.2,0.099705305,0.0,0
7776,27846,65905.66667,23471.0,40.8,46.5,0.132393085,0.0,0
7777,27847,41228.41667,16871.0,28.8,43.0,0.013157895,0.0,0
7778,27849,51896.66667,18381.0,41.7,33.7,0.08984047,0.020631068,0
7779,27850,234124.0833,27526.0,51.0,54.8,0.127256637,0.0,0
7780,27851,103023.25,21948.0,43.5,44.2,0.065321296,0.004676539,0
7781,27852,71860.5,23632.0,38.9,38.0,0.060229446,0.0,0
7782,27853,63396.833329999994,19642.0,27.6,38.7,0.0,0.0,0
7783,27855,107353.6667,17462.0,30.8,44.8,0.076589226,0.0,0
7784,27856,146378.3333,28094.0,43.6,46.2,0.121128642,0.0020338979999999997,0
7785,27857,37243.41667,18725.0,47.4,48.6,0.033997655,0.0,0
7786,27858,148594.0833,26856.0,25.1,25.6,0.25714570600000003,0.015566346000000003,0
7787,27860,80171.66667,26201.0,31.1,40.7,0.07028754,0.0,0
7788,27862,73602.75,23114.0,42.9,55.7,0.082720588,0.0,0
7789,27863,160692.25,30160.0,35.9,38.7,0.11092773800000001,0.0,0
7790,27864,60771.66667000001,22434.0,38.0,44.0,0.092780516,0.0,0
7791,27865,104846.0,31558.0,44.5,50.4,0.140882159,0.0,0
7792,27866,68122.08333,20647.0,46.0,43.7,0.062773723,0.033816425,0
7793,27869,43535.16667,19330.0,44.8,60.7,0.043925875,0.0,0
7794,27870,76379.91667,22485.0,37.6,43.7,0.115137246,0.0,0
7795,27871,59951.75,19010.0,42.9,47.0,0.11836603400000001,0.009282178,0
7796,27872,36702.66667,14420.0,41.0,47.8,0.028350515,0.061538462,0
7797,27873,38659.91667,19157.0,52.4,33.5,0.059322034,0.0,0
7798,27874,45751.0,31476.0,54.0,54.2,0.08662714099999999,0.0,0
7799,27875,104353.75,18700.0,28.6,58.4,0.0,0.0,0
7800,27876,48256.08333,23348.0,43.3,51.0,0.065621939,0.0,0
7801,27879,54202.5,28769.0,49.5,40.9,0.134328358,0.0,0
7802,27880,173914.5,36195.0,41.0,45.7,0.10731081699999999,0.006269591999999999,0
7803,27882,114140.8333,23605.0,42.9,41.5,0.11998464199999999,0.0,0
7804,27883,84195.16667,21700.0,42.2,48.8,0.109468822,0.006076389000000001,0
7805,27884,114088.1667,25904.0,43.7,43.9,0.134220073,0.0,0
7806,27885,98192.5,21265.0,38.3,50.6,0.037613489,0.0,0
7807,27886,75717.75,21840.0,38.3,47.1,0.085245226,0.0027485659999999996,0
7808,27888,90917.66667,20642.0,37.8,39.4,0.154847105,0.0,0
7809,27889,133410.0,25471.0,40.0,46.4,0.126100816,0.0,0
7810,27890,34286.75,14627.0,30.0,32.5,0.088547816,0.0,0
7811,27891,73117.33333,21807.0,44.3,44.3,0.06631954,0.0,0
7812,27892,70125.83333,25369.0,43.4,46.9,0.110413191,0.0,0
7813,27893,75340.33333,19058.0,37.4,38.7,0.111003786,0.002065015,0
7814,27896,171643.9167,33777.0,38.1,43.7,0.24384740100000002,0.0028163140000000003,0
7815,27897,62663.16667000001,18807.0,50.8,31.3,0.101883562,0.0,0
7816,27909,145821.1667,23708.0,36.4,40.4,0.12536312800000002,0.0021577560000000003,0
7817,27910,94558.75,21116.0,36.9,40.8,0.122086037,0.004087472,0
7818,27915,294049.8333,25661.0,40.4,56.8,0.16952381,0.0,0
7819,27916,235666.0,27178.0,36.5,39.9,0.15640599,0.0,0
7820,27917,169476.3333,14551.0,26.8,32.2,0.078886311,0.0,0
7821,27919,145194.9167,22597.0,36.0,50.2,0.136929461,0.0,0
7822,27920,266434.25,20551.0,37.3,27.2,0.158145065,0.0,0
7823,27921,222267.75,28148.0,40.0,43.8,0.124089806,0.0009298,0
7824,27922,95721.91667,20601.0,60.0,53.6,0.049786629000000006,0.0,0
7825,27923,234780.3333,30156.0,35.8,28.9,0.101030928,0.0,0
7826,27924,79450.0,20366.0,39.4,51.7,0.059561129000000004,0.0,0
7827,27925,80951.41667,18839.0,46.3,53.5,0.069745523,0.0040214479999999995,0
7828,27926,135054.5833,27981.0,38.7,40.6,0.164150943,0.0,0
7830,27928,68209.0,18492.0,50.8,55.7,0.059893859,0.0,0
7831,27929,299174.4167,40530.0,47.5,50.0,0.287617555,0.0,0
7832,27932,129132.0833,23681.0,40.4,46.2,0.137282763,0.007472527,0
7833,27935,118517.0,23350.0,47.6,40.0,0.085,0.0,0
7834,27936,284352.1667,24458.0,58.4,51.8,0.17413572300000002,0.0,0
7835,27937,123746.6667,23196.0,40.6,47.0,0.08400496,0.0,0
7836,27938,101043.9167,27134.0,47.9,50.7,0.048523207,0.0,0
7837,27939,185497.3333,25153.0,43.2,40.5,0.161967938,0.0,0
7838,27941,269504.4167,34731.0,58.3,56.5,0.123667377,0.0,0
7839,27942,101481.8333,17885.0,51.3,49.1,0.012547051000000002,0.0,0
7840,27943,248496.75,37126.0,53.7,68.0,0.31512605,0.0,0
7841,27944,146452.8333,26340.0,50.1,49.0,0.144205151,0.0,0
7842,27946,121360.6667,28140.0,51.8,46.6,0.066326531,0.0,0
7843,27947,181990.9167,21716.0,36.4,43.0,0.078867543,0.0,0
7844,27948,276729.0,31421.0,44.0,44.1,0.17597765399999998,0.0,0
7845,27949,366230.5833,46592.0,52.3,53.1,0.290770533,0.0,0
7846,27950,226221.75,26010.0,50.0,49.0,0.113095238,0.003887269,0
7847,27953,187182.75,24520.0,45.0,41.0,0.07713885,0.0,0
7848,27954,279103.8333,29654.0,41.8,46.9,0.197306901,0.0,0
7849,27956,233978.0,32763.0,56.3,35.9,0.079365079,0.0,0
7850,27957,177847.9167,34889.0,48.1,58.3,0.102003643,0.0,0
7851,27958,299694.9167,32507.0,40.9,40.2,0.19669488100000002,0.0047019,0
7852,27959,336216.8333,35366.0,42.3,43.8,0.284744228,0.0,0
7853,27962,53144.66667,22263.0,39.3,43.6,0.083366415,0.0,0
7854,27964,227628.1667,28957.0,53.9,57.6,0.170498084,0.0,0
7855,27965,183210.1667,19270.0,30.5,50.2,0.045454545,0.0,0
7856,27966,210598.0,18724.0,42.3,29.2,0.051229508,0.0,0
7857,27967,58382.91667000001,31866.0,52.2,59.3,0.067460317,0.0,0
7858,27968,268523.8333,41050.0,52.5,55.9,0.184,0.0,0
7859,27970,65366.25,18799.0,53.0,51.9,0.077186126,0.0,0
7860,27972,329868.0833,65666.0,56.8,64.5,0.5,0.0,0
7861,27973,210931.6667,28373.0,45.6,47.5,0.129504505,0.0,0
