,zipcode,AVERAGE  PRICE,Income per capita,Median Age Male,Median Age Female,Bachelor's degree > 25,Public transportation,clusters
2251,8836,570293.0,77915.0,49.7,43.4,0.34871993799999995,0.062334917999999996,4
2259,8853,549029.1667,59263.0,41.8,44.7,0.30305651699999997,0.024011821000000003,4
2282,10001,1020844.25,84765.0,40.1,34.3,0.37864887399999997,0.49660007,4
2283,10002,852256.5,32694.0,40.7,46.0,0.218526031,0.545787099,4
2284,10003,1089362.0829999999,92781.0,33.3,30.7,0.424390627,0.511293442,4
2285,10004,1090451.8329999999,122165.0,38.3,37.0,0.47506870799999995,0.543341404,4
2286,10005,1136309.0829999999,106702.0,30.4,29.9,0.484512602,0.628490369,4
2287,10006,886169.4167,114611.0,33.2,30.5,0.505730129,0.565268065,4
2288,10007,2752046.667,147547.0,35.9,36.2,0.426263385,0.5538945710000001,4
2289,10009,843438.4167,51655.0,35.1,38.8,0.37646434700000003,0.590406256,4
2290,10010,926539.25,93605.0,35.4,33.4,0.36988194399999996,0.555814745,4
2291,10011,1173931.8329999999,121991.0,41.4,39.1,0.410526564,0.552621194,4
2292,10012,1739318.25,90389.0,34.7,33.3,0.445065379,0.511092851,4
2293,10013,2956431.0,111109.0,37.7,38.3,0.363111587,0.453212564,4
2294,10014,1216797.25,123235.0,40.3,36.3,0.45109450700000003,0.53082899,4
2295,10016,830070.25,98378.0,33.6,33.3,0.434709821,0.400467358,4
2296,10017,665418.1667,111185.0,38.8,41.9,0.458979067,0.388197621,4
2297,10018,1025007.083,86150.0,34.7,31.4,0.35398773,0.45035136,4
2298,10019,1157362.9170000001,97327.0,39.7,39.1,0.368919857,0.448993125,4
2299,10021,1163069.4170000001,121529.0,42.1,40.5,0.3891010070000001,0.44728546399999997,4
2300,10022,932041.9167,146464.0,45.9,48.5,0.394719325,0.389873806,4
2301,10023,1132154.25,119276.0,43.4,43.2,0.32285218600000004,0.5710552010000001,4
2302,10024,1230568.6670000001,123179.0,42.7,43.3,0.35306971,0.680979606,4
2303,10025,1067987.75,72802.0,41.4,41.1,0.284475184,0.660184172,4
2304,10026,902951.3333,41556.0,35.8,34.1,0.23303246600000002,0.791040911,4
2305,10027,664541.6667,32087.0,30.8,31.2,0.228911589,0.6537011460000001,4
2306,10028,1172158.5,120002.0,39.0,38.8,0.41795124899999997,0.625865594,4
2307,10030,762142.0,32614.0,35.0,37.8,0.184839998,0.728427701,4
2308,10031,595994.8333,29111.0,32.3,36.4,0.205594792,0.7879019909999999,4
2310,10033,638617.6667,27673.0,33.9,38.0,0.21744451899999998,0.6862664190000001,4
2312,10035,688934.3333,22799.0,35.1,37.4,0.16728295199999998,0.721002907,4
