,zipcode,RegionType,StateName,City,Metro,CountyName,AVERAGE  PRICE,Income per capita,Median Age Male,Median Age Female,Bachelor's degree > 25,Public transportation
110,1301,Zip,MA,Greenfield,Greenfield Town,Franklin County,204688.4167,30160.0,41.7,45.2,0.195294827,0.005780347
111,1330,Zip,MA,Ashfield,Greenfield Town,Franklin County,275003.4167,42015.0,50.3,52.4,0.22849213699999998,0.01758794
112,1331,Zip,MA,Athol,Worcester,Worcester County,179593.6667,27847.0,46.1,43.7,0.13496302400000001,0.013783038999999999
113,1337,Zip,MA,Bernardston,Greenfield Town,Franklin County,236029.75,36024.0,49.6,52.3,0.159055118,0.0
114,1338,Zip,MA,Buckland,Greenfield Town,Franklin County,230754.0833,25494.0,62.2,41.4,0.118811881,0.0
115,1339,Zip,MA,Charlemont,Greenfield Town,Franklin County,221255.5833,31493.0,48.2,52.7,0.20837124699999998,0.00331675
116,1340,Zip,MA,Colrain,Greenfield Town,Franklin County,194818.25,30308.0,50.9,53.8,0.157456472,0.0056053809999999996
117,1341,Zip,MA,Conway,Greenfield Town,Franklin County,307217.5,51754.0,51.8,51.6,0.260805861,0.009737098000000001
118,1342,Zip,MA,Deerfield,Greenfield Town,Franklin County,296414.25,34530.0,31.3,49.1,0.371727749,0.010294118
119,1343,Zip,MA,Florida,Pittsfield,Berkshire County,191383.8333,36273.0,61.3,60.5,0.0,0.0
120,1344,Zip,MA,Erving,Greenfield Town,Franklin County,200456.1667,29002.0,44.8,45.3,0.11233885800000001,0.02170767
121,1346,Zip,MA,Heath,Greenfield Town,Franklin County,201053.6667,32336.0,49.4,50.1,0.1875,0.0
122,1347,Zip,MA,Montague,Greenfield Town,Franklin County,128672.0,31898.0,50.8,27.7,0.207207207,0.0
123,1349,Zip,MA,Millers Falls,Greenfield Town,Franklin County,189916.3333,27235.0,34.8,39.1,0.11798396300000001,0.06618705
124,1350,Zip,MA,Monroe,Greenfield Town,Franklin County,116690.3333,23018.0,54.3,39.5,0.060606060999999996,0.0
125,1351,Zip,MA,Montague,Greenfield Town,Franklin County,251824.5,40029.0,46.9,46.8,0.19964455,0.005704971
126,1354,Zip,MA,Gill,Greenfield Town,Franklin County,224432.8333,39175.0,43.0,48.2,0.26976744199999997,0.0
127,1355,Zip,MA,New Salem,Greenfield Town,Franklin County,237362.25,36064.0,50.7,54.9,0.19166666699999999,0.012987013
128,1360,Zip,MA,Northfield,Greenfield Town,Franklin County,234292.6667,37542.0,44.6,49.7,0.195495495,0.0
129,1364,Zip,MA,Orange,Greenfield Town,Franklin County,164666.1667,26454.0,43.1,47.2,0.127320035,0.007082153000000001
130,1366,Zip,MA,Petersham,Worcester,Worcester County,268623.5833,35561.0,52.5,48.3,0.155136268,0.004651163
131,1367,Zip,MA,Rowe,Greenfield Town,Franklin County,218838.0,26574.0,49.6,43.5,0.1825,0.0
132,1368,Zip,MA,Royalston,Worcester,Worcester County,234807.0,35724.0,53.5,51.2,0.097484277,0.0
